Month,Year,TAM
03,2000,-8.1
04,2000,-5.9
05,2000,-0.4
06,2000,2.1
07,2000,4.8
08,2000,4.9
09,2000,4.1
10,2000,3.8
11,2000,0.4
12,2000,-3.2
01,2001,-2.8
02,2001,-4.1
03,2001,-10.0
04,2001,-6.8
05,2001,-0.5
06,2001,3.5
07,2001,5.0
08,2001,5.1
09,2001,5.3
10,2001,-0.3
11,2001,-3.8
12,2001,-4.7
01,2002,-7.2
02,2002,-6.4
03,2002,-7.2
04,2002,-0.2
05,2002,-0.3
06,2002,4.4
07,2002,6.0
08,2002,6.7
09,2002,2.9
10,2002,0.3
11,2002,-2.4
12,2002,-3.8
01,2003,-13.8
02,2003,-3.3
03,2003,-8.3
04,2003,-4.2
05,2003,-1.7
06,2003,2.1
07,2003,5.0
08,2003,4.7
09,2003,3.5
10,2003,-0.1
11,2003,-0.3
12,2003,-10.4
01,2004,-5.8
02,2004,-11.0
03,2004,-1.3
04,2004,0.9
05,2004,0.6
06,2004,2.6
07,2004,8.8
08,2004,6.7
09,2004,4.4
10,2004,0.5
11,2004,-4.5
12,2004,-1.5
01,2005,-2.1
02,2005,-2.1
03,2005,-7.2
04,2005,-2.7
05,2005,-0.2
06,2005,3.2
07,2005,5.8
08,2005,6.0
09,2005,3.2
10,2005,0.6
11,2005,-0.3
12,2005,-1.3
01,2006,0.3
02,2006,-3.4
03,2006,-7.4
04,2006,1.4
05,2006,1.8
06,2006,5.0
07,2006,6.6
08,2006,6.7
09,2006,3.9
10,2006,0.1
11,2006,-0.3
12,2006,-0.7
01,2007,-3.5
02,2007,-4.6
03,2007,-2.0
04,2007,-3.7
05,2007,0.2
06,2007,3.5
07,2007,4.7
08,2007,5.8
09,2007,3.8
10,2007,2.7
11,2007,-0.8
12,2007,-1.1
01,2008,-1.2
02,2008,-2.6
03,2008,-6.4
04,2008,-4.6
05,2008,0.2
06,2008,2.6
07,2008,4.9
08,2008,4.8
09,2008,4.6
10,2008,0.2
11,2008,-1.6
12,2008,-1.3
01,2009,-6.0
02,2009,-4.2
03,2009,-4.2
04,2009,-6.4
05,2009,1.6
06,2009,3.6
07,2009,4.1
08,2009,5.0
09,2009,3.5
10,2009,0.5
11,2009,1.7
12,2009,-1.5
01,2010,-2.0
02,2010,-4.0
03,2010,-8.6
04,2010,-2.0
05,2010,1.8
06,2010,2.3
07,2010,5.5
08,2010,3.7
09,2010,4.0
10,2010,1.2
11,2010,-3.6
12,2010,-4.1
01,2011,-6.5
02,2011,-4.1
03,2011,-4.7
04,2011,0.7
05,2011,0.3
06,2011,1.9
07,2011,4.7
08,2011,5.9
09,2011,6.2
10,2011,2.0
11,2011,-0.6
12,2011,-1.8
01,2012,-0.6
02,2012,-1.8
03,2012,-1.7
04,2012,-4.0
05,2012,0.3
06,2012,2.8
07,2012,4.7
08,2012,5.7
09,2012,4.4
10,2012,1.2
11,2012,-0.4
12,2012,-2.8
01,2013,-2.5
02,2013,-3.4
03,2013,-8.5
04,2013,-3.9
05,2013,1.7
06,2013,5.3
07,2013,6.6
08,2013,8.2
09,2013,6.4
10,2013,0.1
11,2013,-2.6
12,2013,-2.8
01,2014,-1.2
02,2014,-0.6
03,2014,-3.8
04,2014,-3.9
05,2014,-0.8
06,2014,2.9
07,2014,6.3
08,2014,4.8
09,2014,3.9
10,2014,1.8
11,2014,-0.2
12,2014,-3.0
01,2015,-2.6
02,2015,-5.2
03,2015,-1.2
04,2015,-1.9
05,2015,-0.7
06,2015,2.4
07,2015,3.7
08,2015,6.6
09,2015,4.1
10,2015,1.5
11,2015,-0.1
12,2015,-2.1
01,2016,-2.1
